=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.05.26 16:45:36 =~=~=~=~=~=~=~=~=~=~=~=
191, -3378.18, 1.42, -3234.43, 1.43, 
201, -3090.68, 1.44, -2899.01, 1.45, 
211, -2803.17, 1.46, -2659.42, 1.47, 
221, -2563.59, 1.48, -2419.83, 1.49, 
231, -2324.00, 1.49, -2180.25, 1.50, 
241, -2132.33, 1.51, -1988.58, 1.52, 
251, -1892.74, 1.52, -1748.99, 1.53, 
261, -1748.99, 1.53, -1605.24, 1.54, 
271, -1557.32, 1.55, -1461.48, 1.55, 
281, -1413.57, 1.55, -1269.81, 1.56, 
291, -1221.90, 1.57, -1126.06, 1.57, 
301, -1126.06, 1.57, -982.31, 1.58, 
311, -982.31, 1.58, -886.47, 1.59, 
321, -838.56, 1.59, -790.64, 1.60, 
331, -742.72, 1.60, -694.80, 1.60, 
341, -646.89, 1.61, -598.97, 1.61, 
351, -551.05, 1.61, -503.13, 1.62, 
361, -407.30, 1.62, -407.30, 1.62, 
371, -359.38, 1.63, -359.38, 1.63, 
381, -311.46, 1.63, -263.55, 1.63, 
391, -215.63, 1.64, -215.63, 1.64, 
401, -167.71, 1.64, -167.71, 1.64, 
411, -71.88, 1.65, -71.88, 1.65, 
421, -71.88, 1.65, -23.96, 1.65, 
431, 23.96, 1.65, 23.96, 1.65, 
441, 71.88, 1.65, 23.96, 1.65, 
451, 119.79, 1.66, 71.88, 1.65, 
461, 167.71, 1.66, 119.79, 1.66, 
471, 215.63, 1.66, 167.71, 1.66, 
481, 263.55, 1.67, 215.63, 1.66, 
491, 263.55, 1.67, 215.63, 1.66, 
501, 311.46, 1.67, 263.55, 1.67, 
511, 359.38, 1.67, 311.46, 1.67, 
521, 359.38, 1.67, 311.46, 1.67, 
531, 407.30, 1.68, 359.38, 1.67, 
541, 407.30, 1.68, 407.30, 1.68, 
551, 455.22, 1.68, 359.38, 1.67, 
561, 455.22, 1.68, 407.30, 1.68, 
571, 503.13, 1.68, 407.30, 1.68, 
581, 503.13, 1.68, 455.22, 1.68, 
591, 503.13, 1.68, 455.22, 1.68, 
601, 503.13, 1.68, 503.13, 1.68, 
611, 551.05, 1.69, 455.22, 1.68, 
621, 551.05, 1.69, 455.22, 1.68, 
631, 551.05, 1.69, 503.13, 1.68, 
641, 598.97, 1.69, 551.05, 1.69, 
651, 598.97, 1.69, 551.05, 1.69, 
661, 646.89, 1.69, 551.05, 1.69, 
671, 646.89, 1.69, 551.05, 1.69, 
681, 646.89, 1.69, 551.05, 1.69, 
691, 646.89, 1.69, 598.97, 1.69, 
701, 694.80, 1.70, 646.89, 1.69, 
711, 694.80, 1.70, 598.97, 1.69, 
721, 694.80, 1.70, 598.97, 1.69, 
731, 742.72, 1.70, 646.89, 1.69, 
741, 742.72, 1.70, 646.89, 1.69, 
751, 694.80, 1.70, 646.89, 1.69, 
761, 742.72, 1.70, 646.89, 1.69, 
771, 742.72, 1.70, 646.89, 1.69, 
